node:148 rate:1.393 new_rtt4.233 c:1.054 rttpred:4207.901 rtttarget:5220.000 rttmin4176.000 e:-0.194 eold:-0.193 eavg:-0.137 flag:1
node:148 rate:1.661 new_rtt17.243 c:1.008 rttpred:15581.600 rtttarget:15330.000 rttmin12264.000 e:0.016 eold:0.035 eavg:-0.088 flag:1
node:148 rate:1.853 new_rtt8.243 c:1.057 rttpred:8185.206 rtttarget:10275.000 rttmin8220.000 e:-0.203 eold:-0.209 eavg:-0.164 flag:1
node:148 rate:1.000 new_rtt12.299 c:0.967 rttpred:12212.273 rtttarget:15330.000 rttmin12264.000 e:0.106 eold:0.099 eavg:0.103 flag:1
node:148 rate:1.468 new_rtt4.176 c:1.065 rttpred:4042.874 rtttarget:5220.000 rttmin4176.000 e:-0.226 eold:-0.194 eavg:-0.146 flag:1
node:148 rate:1.479 new_rtt8.220 c:1.059 rttpred:8097.547 rtttarget:10275.000 rttmin8220.000 e:-0.212 eold:-0.203 eavg:-0.145 flag:1
node:148 rate:1.563 new_rtt4.176 c:1.056 rttpred:4132.537 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.226 eavg:-0.151 flag:1
node:148 rate:1.959 new_rtt8.279 c:1.057 rttpred:8232.640 rtttarget:10275.000 rttmin8220.000 e:-0.199 eold:-0.203 eavg:-0.166 flag:1
node:148 rate:1.126 new_rtt12.264 c:0.953 rttpred:11850.833 rtttarget:15330.000 rttmin12264.000 e:0.074 eold:-0.189 eavg:-0.022 flag:1
node:148 rate:1.650 new_rtt4.176 c:1.058 rttpred:4134.436 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.156 flag:1
node:148 rate:2.070 new_rtt8.320 c:1.056 rttpred:8270.851 rtttarget:10275.000 rttmin8220.000 e:-0.195 eold:-0.199 eavg:-0.168 flag:1
node:148 rate:1.000 new_rtt12.356 c:1.080 rttpred:12289.815 rtttarget:15330.000 rttmin12264.000 e:-0.198 eold:0.106 eavg:0.002 flag:1
node:148 rate:1.746 new_rtt4.176 c:1.059 rttpred:4133.723 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.160 flag:1
node:148 rate:1.674 new_rtt18.454 c:0.995 rttpred:16010.200 rtttarget:15330.000 rttmin12264.000 e:0.044 eold:0.016 eavg:-0.081 flag:1
node:148 rate:1.849 new_rtt4.176 c:1.059 rttpred:4133.145 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.164 flag:1
node:148 rate:1.073 new_rtt12.286 c:1.083 rttpred:12191.182 rtttarget:15330.000 rttmin12264.000 e:-0.205 eold:0.074 eavg:-0.052 flag:1
node:148 rate:1.958 new_rtt4.176 c:1.059 rttpred:4132.680 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.167 flag:1
node:148 rate:1.000 new_rtt12.271 c:0.967 rttpred:12130.193 rtttarget:11043.900 rttmin12271.000 e:0.098 eold:0.000 eavg:0.000 flag:1
node:148 rate:2.187 new_rtt8.220 c:1.067 rttpred:7978.210 rtttarget:10275.000 rttmin8220.000 e:-0.224 eold:-0.195 eavg:-0.171 flag:1
node:148 rate:2.074 new_rtt4.176 c:1.060 rttpred:4132.305 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.169 flag:1
node:148 rate:1.080 new_rtt12.265 c:1.052 rttpred:11990.985 rtttarget:15330.000 rttmin12264.000 e:-0.218 eold:-0.198 eavg:-0.053 flag:1
node:148 rate:2.198 new_rtt4.176 c:1.060 rttpred:4132.003 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.171 flag:1
node:148 rate:1.667 new_rtt19.121 c:1.004 rttpred:15750.427 rtttarget:15330.000 rttmin12264.000 e:0.027 eold:0.044 eavg:-0.075 flag:1
node:148 rate:2.333 new_rtt8.265 c:1.055 rttpred:8238.462 rtttarget:10275.000 rttmin8220.000 e:-0.198 eold:-0.224 eavg:-0.173 flag:1
node:148 rate:1.162 new_rtt12.264 c:1.051 rttpred:12112.400 rtttarget:15330.000 rttmin12264.000 e:-0.210 eold:-0.205 eavg:-0.075 flag:1
node:148 rate:1.000 new_rtt12.217 c:0.982 rttpred:12014.854 rtttarget:10995.300 rttmin12217.000 e:0.093 eold:0.098 eavg:0.000 flag:1
node:148 rate:2.329 new_rtt4.176 c:1.060 rttpred:4131.760 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.174 flag:1
node:148 rate:1.137 new_rtt12.276 c:1.049 rttpred:12159.245 rtttarget:15330.000 rttmin12264.000 e:-0.207 eold:-0.218 eavg:-0.083 flag:1
node:148 rate:2.460 new_rtt8.260 c:1.061 rttpred:8161.166 rtttarget:10275.000 rttmin8220.000 e:-0.206 eold:-0.198 eavg:-0.175 flag:1
node:148 rate:2.469 new_rtt4.256 c:1.048 rttpred:4317.961 rtttarget:5220.000 rttmin4176.000 e:-0.173 eold:-0.208 eavg:-0.173 flag:1
node:148 rate:1.222 new_rtt12.292 c:1.050 rttpred:12208.266 rtttarget:15330.000 rttmin12264.000 e:-0.204 eold:-0.210 eavg:-0.091 flag:1
