node:14 rate:1.477 new_rtt4.176 c:1.055 rttpred:4136.272 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.225 eavg:-0.144 flag:1
node:14 rate:1.326 new_rtt12.277 c:1.055 rttpred:12162.651 rtttarget:15330.000 rttmin12264.000 e:-0.207 eold:-0.210 eavg:-0.131 flag:1
node:14 rate:34.783 new_rtt4.176 c:1.062 rttpred:4135.348 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.192 flag:1
node:14 rate:1.558 new_rtt4.180 c:1.057 rttpred:4146.798 rtttarget:5220.000 rttmin4176.000 e:-0.206 eold:-0.208 eavg:-0.150 flag:1
node:14 rate:36.931 new_rtt4.176 c:1.062 rttpred:4134.462 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.192 flag:1
node:14 rate:1.646 new_rtt4.176 c:1.059 rttpred:4130.077 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.206 eavg:-0.155 flag:1
node:14 rate:1.136 new_rtt8.220 c:1.051 rttpred:8133.018 rtttarget:10275.000 rttmin8220.000 e:-0.208 eold:-0.208 eavg:-0.086 flag:1
node:14 rate:39.216 new_rtt4.176 c:1.062 rttpred:4133.744 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.192 flag:1
node:14 rate:1.399 new_rtt12.264 c:1.057 rttpred:12112.596 rtttarget:15330.000 rttmin12264.000 e:-0.210 eold:-0.207 eavg:-0.140 flag:1
node:14 rate:1.743 new_rtt4.212 c:1.053 rttpred:4218.897 rtttarget:5220.000 rttmin4176.000 e:-0.192 eold:-0.209 eavg:-0.158 flag:1
node:14 rate:41.643 new_rtt4.176 c:1.062 rttpred:4133.162 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.193 flag:1
node:14 rate:44.223 new_rtt4.176 c:1.062 rttpred:4132.693 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.193 flag:1
node:14 rate:1.835 new_rtt4.176 c:1.065 rttpred:4078.636 rtttarget:5220.000 rttmin4176.000 e:-0.219 eold:-0.192 eavg:-0.162 flag:1
node:14 rate:46.965 new_rtt4.176 c:1.062 rttpred:4132.316 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.193 flag:1
node:14 rate:1.953 new_rtt4.176 c:1.058 rttpred:4133.856 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.219 eavg:-0.165 flag:1
node:14 rate:1.194 new_rtt8.220 c:1.053 rttpred:8132.615 rtttarget:10275.000 rttmin8220.000 e:-0.209 eold:-0.208 eavg:-0.106 flag:1
node:14 rate:49.878 new_rtt4.176 c:1.062 rttpred:4132.012 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.193 flag:1
node:14 rate:2.066 new_rtt4.176 c:1.059 rttpred:4134.681 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.168 flag:1
node:14 rate:1.479 new_rtt12.282 c:1.056 rttpred:12174.088 rtttarget:15330.000 rttmin12264.000 e:-0.206 eold:-0.210 eavg:-0.147 flag:1
node:14 rate:52.973 new_rtt4.176 c:1.062 rttpred:4131.768 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.193 flag:1
