[27473, 27.107, 27.107]
[27473, 27.107, 27.107]
[27556, 27.107, 27.107]
[27556, 27.107, 27.107]
[27556, 27.107, 27.107]
[27556, 27.107, 27.107]
[27556, 27.107, 27.107]
[27556, 27.107, 27.107]
[27556, 27.107, 27.107]
[26892, 27.107, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26832, 27.722, 27.722]
[26855, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 27.722]
[26892, 27.722, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26922, 28.337, 28.337]
[26869, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[26975, 28.337, 28.337]
[27058, 28.337, 28.952]
[27058, 28.952, 28.952]
[27058, 28.952, 28.952]
[27012, 28.952, 28.952]
[26966, 28.952, 28.952]
[27058, 28.952, 28.952]
[27141, 28.952, 28.952]
[27058, 28.952, 28.952]
[27058, 28.952, 28.952]
[27141, 28.952, 28.952]
[27141, 28.952, 28.952]
[27141, 28.952, 28.952]
[27141, 28.952, 28.952]
[27141, 28.952, 28.952]
[27141, 28.952, 28.952]
[27390, 28.952, 26.921]
[27516, 26.921, 26.921]
[27476, 26.921, 26.921]
[27519, 26.921, 26.921]
[27562, 26.921, 26.921]
[27522, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27639, 26.921, 26.921]
[27307, 26.921, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27245, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 27.536]
[27307, 27.536, 28.151]
[27418, 28.151, 28.151]
[27529, 28.151, 28.151]
[27474, 28.151, 28.151]
[27585, 28.151, 28.151]
[27530, 28.151, 28.151]
[27556, 28.151, 28.151]
[27639, 28.151, 28.151]
[27639, 28.151, 28.151]
[27639, 28.151, 28.151]
[27639, 28.151, 28.151]
[27639, 28.151, 28.151]
[27639, 28.151, 28.151]
[27639, 28.151, 28.151]
[27722, 28.151, 28.151]
[27888, 28.151, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27840, 28.766, 28.766]
[27888, 28.766, 28.766]
[27840, 28.766, 28.766]
[27875, 28.766, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27888, 28.766, 28.766]
[27556, 28.766, 29.381]
[27639, 29.381, 27.788]
[27722, 27.788, 27.788]
[27680, 27.788, 27.788]
[27722, 27.788, 27.788]
[27680, 27.788, 27.788]
[27721, 27.788, 27.788]
[27722, 27.788, 27.788]
[27722, 27.788, 27.788]
[27722, 27.788, 27.788]
[27722, 27.788, 27.788]
[27722, 27.788, 27.788]
[27722, 27.788, 27.788]
[27722, 27.788, 27.788]
[27722, 27.788, 27.788]
[28054, 27.788, 27.788]
[28101, 27.788, 27.788]
[28054, 27.788, 27.788]
[27919, 27.788, 27.788]
[27888, 27.788, 27.788]
[27836, 27.788, 27.788]
[27867, 27.788, 27.788]
[27888, 27.788, 27.788]
[27888, 27.788, 27.788]
[27058, 27.788, 27.788]
[27058, 27.788, 27.788]
[27058, 27.788, 27.788]
[27058, 27.788, 27.788]
[27058, 27.788, 27.788]
[27058, 27.788, 27.788]
[27141, 27.788, 28.403]
[27141, 28.403, 28.403]
[27058, 28.403, 28.403]
[27006, 28.403, 28.403]
[27120, 28.403, 28.403]
[27068, 28.403, 28.403]
[27099, 28.403, 28.403]
[27141, 28.403, 28.403]
[27141, 28.403, 28.403]
[27141, 28.403, 28.403]
[27141, 28.403, 28.403]
[27141, 28.403, 28.403]
[27141, 28.403, 28.403]
[27141, 28.403, 28.403]
[27141, 28.403, 28.403]
[27307, 28.403, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27261, 29.018, 29.018]
[27307, 29.018, 29.018]
[27261, 29.018, 29.018]
[27298, 29.018, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27307, 29.018, 29.018]
[27639, 29.018, 29.633]
